round,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8
1,Menciona una de las posiciones clasicas en las que se divide un equipo de futbol en la cancha.,Delantero,Portero,Defensa,Mediocampista,Director Tecnico,,,
2,Menciona una de las carnes ahumadas mas famosas del menu de Pinche Gringo.,Brisket (Pecho de vaca),Costillas de Cerdo (Ribs),Pulled Pork (Cerdo deshebrado),Salchicha artesanal,,,,
3,Menciona una de las tres selecciones nacionales que han ganado mas Copas del Mundo en la historia.,Brasil,Alemania,Italia,,,,,
1,Menciona un objeto indispensable que un aficionado lleva consigo al estadio para apoyar a su seleccion.,Jersey de la seleccion,Bandera de Mexico,Matraca / Silbato / Corneta,Sombrero de charro,Bufanda del equipo,,,
2,Menciona un acompanamiento (guarnicion/side) que no puede faltar en tu charola de Pinche Gringo.,Mac & Cheese,Ensalada de papa (Potato salad),Frijoles BBQ (BBQ beans),Ensalada de col (Coleslaw),,,,
3,Cual es la forma en que el arbitro puede amonestar o castigar a un jugador durante el partido?,Tarjeta Amarilla,Tarjeta Roja,Marcar Penal / Falta,,,,,
1,Menciona un legendario jugador historico de la Seleccion Mexicana que todos los aficionados recuerdan.,Hugo Sanchez,Rafa Marquez,Cuauhtemoc Blanco,"Javier ""Chicharito"" Hernandez",Jorge Campos,,,
2,Menciona un postre clasico de Pinche Gringo que los clientes eligen para cerrar con broche de oro.,Pay de Limon (Key Lime Pie),Pay de Nuez (Pecan Pie),Banana Pudding,Pay de Chocolate,,,,
3,Cual es una de las ligas de futbol mas famosas de Europa que los mexicanos ven por television?,La Liga (Espana),Premier League (Inglaterra),Champions League,,,,,
1,"Menciona algo que el portero tiene permitido usar o hacer en la cancha, pero el resto de los jugadores no.",Tocar el balon con las manos,Usar guantes,Vestir un jersey de color diferente,Estar dentro de su area chica,Atajar penales,,,
2,"Ademas del agua de sabor, menciona una bebida que la gente en Pinche Gringo elige para acompanar su BBQ.",Cerveza nacional / artesanal,Refresco de cola,Un trago de Buchanan's / destilado,Te helado (Iced Tea),,,,
3,Menciona una jugada ensayada o jugada a balon parado muy comun en el futbol.,Tiro de esquina (Corner),Tiro libre / Falta,Penal,,,,,
1,Menciona que locura o manda promete hacer un mexicano si la Seleccion llega al famoso quinto partido.,Raparse la cabeza,Pintarse el cabello verde,Hacerse un tatuaje de la Copa o del escudo,Irse caminando o de rodillas a la Basilica,Casarse / Proponer matrimonio,,,
2,Menciona una de las marcas deportivas globales mas conocidas que patrocina a las selecciones en el Mundial.,Adidas,Nike,Puma,Under Armour,,,,
3,Menciona un pais latinoamericano (fuera de Mexico) famoso por su enorme pasion y nivel de futbol.,Brasil,Argentina,Uruguay,,,,,
1,Menciona una pieza o elemento indispensable de la vestimenta/equipo de un futbolista para poder jugar.,Tachones / Tacos (Zapatos de futbol),Playera / Jersey,Espinilleras / Canilleras,Shorts / Pantaloncillos,Calcetas largas,,,
2,"Menciona un condimento, verdura o aderezo que le agregas a tu hamburguesa o sandwich de pulled pork en la mesa de salsas de Pinche Gringo.",Salsa BBQ Original,Pepinillos,Cebolla morada,Chiles en vinagre / Jalapenos,,,,
3,Menciona uno de los estadios de futbol mas iconicos e historicos de la Republica Mexicana.,Estadio Azteca (CDMX),Estadio Akron / Omnilife (Guadalajara),Estadio BBVA / El Gigante de Acero (Monterrey),,,,,
1,"Menciona a alguien que este presente dentro de la cancha o a pie de campo durante un partido, ademas de los 22 jugadores titulares.",Arbitro Central,Abanderado / Juez de linea,Director Tecnico (DT),Camilleros / Cuerpo medico,Fotografos / Prensa,,,
2,Menciona un pretexto clasico que usa un mexicano en el trabajo para poder ver el partido de la Seleccion en horario laboral.,"""Trabajare desde casa"" (Home Office)","""Tengo cita con el medico""","""Se cayo el internet de la oficina""","""Hay demasiado trafico, no voy a llegar""",,,,
3,"Ademas de las carnes por kilo, menciona un complemento calientito o frito que puedes pedir para compartir en Pinche Gringo.",Papas fritas (French Fries),Aros de cebolla (Onion rings),Salchicha ahumada (como snack),,,,,
1,Menciona una cancion o frase clasica que la aficion mexicana canta a todo pulmon en las tribunas del estadio.,"""Cielito Lindo""","""Mexico, Mexico!""","""Si se puede!""","""Goooool!""","""El Chucky Lozanooo!"" (con ritmo de Seven Nation Army)",,,
2,Menciona un tipo o sabor de salsa BBQ que encuentras para banar tus costillas en Pinche Gringo.,BBQ Original (Dulce/Ahumada),BBQ Spicy / Picante,BBQ Honey Mustard (Mostaza dulce),Salsa de Habanero / Macha (Toque mexicano),,,,
3,Menciona un torneo de futbol de gran prestigio internacional ademas de la Copa del Mundo.,Champions League (Europa),Copa America,Eurocopa,,,,,
1,Menciona una falta o situacion de juego por la cual el arbitro detiene el partido de inmediato.,Una mano (tocar el balon con el brazo),Fuera de lugar (Offside),Una barrida por detras (Falta fisica),Balon fuera de la cancha,Lesion de un jugador,,,
2,Menciona que es lo primero que hace un mexicano cuando la Seleccion mete un gol de ultimo minuto.,Abrazar a un desconocido,"Gritar ""Goooool!"" hasta quedarse sin aire",Lanzar la chela / bebida al aire,Llorar de emocion,,,,
3,Menciona uno de los clubes de futbol europeos mas famosos y con mas seguidores en Mexico.,Real Madrid,FC Barcelona,Manchester United,,,,,
1,Menciona un accesorio o herramienta que el director tecnico suele usar en la banca para dirigir a su equipo.,Tabla tactica / Carpeta de jugadas,Silbato,Chamarra / Traje formal de la marca,iPad / Tableta electronica,Gafete de acreditacion,,,
2,Menciona un elemento del diseno o ambiente rustico caracteristico que hace unico el set de Pinche Gringo BBQ.,Mesas largas de madera (estilo picnic),El camion / Remolque de metal (Airstream),Musica Country o Rock clasico,Luces tipo feria / Techos industriales altos,,,,
3,Menciona un numero de playera iconico que suelen portar los goleadores o los jugadores estrella de cualquier equipo.,El numero 10 (El armador),El numero 9 (El centro delantero),El numero 7 (El extremo/goleador),,,,,
1,"Menciona a un comentarista, narrador o analista de futbol en Mexico muy famoso por sus frases celebres o gritos de gol.",Christian Martinoli,"Enrique ""El Perro"" Bermudez",Luis Garcia (El Doctor),Jorge Campos (Por sus risas/comentarios cortos),Paco Villa,,,
2,Menciona algo que el capitan de un equipo hace durante el partido o antes de iniciar el juego.,Volado con el arbitro (elegir lado de cancha),Usar la banda/brazalete de capitan,Hablar con el arbitro (reclamar/dialogar),Alentar o reganar a sus companeros,,,,
3,Menciona un ingrediente esencial que lleva el clasico 'Mac & Cheese' de Pinche Gringo.,Coditos (Pasta),Queso Cheddar (Salsa de queso),Tocino / Brisket picado (Topping opcional),,,,,
1,Menciona al jugador de la Seleccion Mexicana (actual o historico) que es famoso por tener los chinos (rizos) o la cabellera mas bella e iconica.,"Guillermo ""Memo"" Ochoa",Rafael Marquez (En su epoca de cabello largo),Alan Pulido,"Carlos ""Charly"" Rodriguez",Gerardo Torrado (En su epoca de rizos abundantes),,,
2,Menciona un canal de television o plataforma de streaming donde los mexicanos acostumbran ver los partidos del Mundial.,TV Azteca (Canal 7),TUDN / Televisa (Canal 5),ViX (Streaming),Sky / Canales de paga,,,,
3,Menciona una de las bebidas favoritas de los clientes para refrescarse mientras disfrutan de su Brisket en Pinche Gringo.,Cerveza fria (Draft o de barril),Michelada preparada,Copa / Trago de Tequila Don Julio (Don Julio 70 o Blanco),,,,,
